YEAR,QUARTER,STAYVIS_TOT,STAYVIS_USA,STAYVIS_VEN,STAYVIS_OTH,NIGHTS_TOT,NIGHTS_USA,NIGHTS_VEN,NIGHTS_OTH,TOUREXP_TOT,TOURREC_TOT,TOUREXP_USA,TOUREXP_VEN,TOUREXP_OTH,ADE_TOT,ADE_USA,ADE_VEN,ADE_OTH
1996.00,1.00,172481.00,110246.00,12939.00,49296.00,1303252.00,812119.00,72175.00,418958.00,173959.68,,99272.22,13822.09,60865.37,146.17,130.53,209.85,98.13
1996.00,2.00,142050.00,90671.00,14036.00,37343.00,988221.00,621439.00,69221.00,297561.00,120803.58,,63397.06,14869.76,42536.76,121.49,101.36,204.08,59.03
1996.00,3.00,157658.00,73923.00,30354.00,53381.00,1152975.00,512373.00,206124.00,434478.00,116681.74,,53869.42,19768.37,43043.95,107.26,107.20,97.28,117.30
1996.00,4.00,168645.00,96779.00,17589.00,54277.00,1269278.00,710511.00,98317.00,460450.00,144180.69,,79333.29,19175.64,45671.76,111.03,103.79,176.08,53.22
1997.00,1.00,174930.00,110089.00,14854.00,49987.00,1336985.00,816725.00,98675.00,421585.00,168981.59,,101537.06,18850.88,48593.65,117.22,115.04,132.49,104.13
1997.00,2.00,149615.00,91303.00,15931.00,42381.00,1053557.00,627956.00,82588.00,343013.00,120032.89,,63345.73,20056.30,36630.86,107.13,98.41,186.34,36.64
1997.00,3.00,163014.00,73267.00,35617.00,54130.00,1198274.00,511799.00,246624.00,439851.00,129860.73,,52567.96,29935.79,47356.98,107.20,99.58,144.45,77.57
1997.00,4.00,158424.00,89228.00,21328.00,47868.00,1246022.00,674268.00,127500.00,444254.00,129122.43,,68162.79,26688.37,34271.27,111.26,104.57,226.94,2.27
1998.00,1.00,168399.00,108171.00,14179.00,46049.00,1297225.00,819854.00,68842.00,408529.00,140118.96,,81591.93,14845.37,43681.66,104.78,102.23,160.69,51.42
1998.00,2.00,156680.00,96274.00,23157.00,37249.00,1121778.00,685925.00,111418.00,324435.00,125178.64,,70706.97,22799.35,31672.32,107.19,103.08,183.28,35.21
